schools,degrees,name,full_name,born,died,spouses,parents,sibling,offspring,second_cousin,cousin,occupation,employer,positions
,,Alonzo T. Washington,Alonzo Todd Washington,1983-09-02,,,,,,,,,,Member of the Maryland House of Delegatesfrom the 22nd district
Princeton University,,Alonzo Church,,1903-06-14,"August 11, 1995",,,,,,,,,
,,Alphonse Desjardins,,1841-05-06,4 June 1912,,,,,,,,,"22nd Mayor of Montreal,Member of the Canadian Parliamentfor Hochelaga,Senator for De Lorimier, Quebec,Minister of Militia and Defence"
,,Alphons Egli,,1924-10-08,5 August 2016,,,,,,,,,"Member of the Swiss Federal Council,President of Switzerland"
,,"Alphonse Henri, comte d'Hautpoul",,1789-01-04,27 July 1865,,,,,,,,,"Prime Minister of France,Military service"
Columbus School of Law,LL.B.,Aloysius Joseph Connor,Aloysius Joseph Connor,1895-04-13,"December 18, 1967",,,,,,,,,Judge of the United States District Court for the District of New Hampshire
,,Alphonse Roy,,"October 26, 1897","October 5, 1967",,,,,,,,,"Member of the U.S. House of Representativesfrom New Hampshire's 1st district,Member of the New Hampshire House of Representatives"
,,Alphonse James de Rothschild,,1827-02-01,26 May 1905,Leonora de Rothschild (1837–1911),James Mayer de Rothschild,,"B%C3%A9atrice Ephrussi de Rothschild,%C3%89douard Alphonse James de Rothschild",,,"Financier, vineyard owner, philanthropist, art collector, racehorse owner/breeder",,
"Bowdoin College,Medical University of Ohio",,Alonzo Garcelon,,1813-05-06,"December 8, 1906",,,,,,,,,"36th Governor of Maine,Member of the Maine Senate,Member of the Maine House of Representatives,Military service"
,,Alphonso Barto,,"May 24, 1834","November 4, 1899 (aged 65)","Harriet E. Hitchcock (1854), Charlotte ""Lottie"" A. Allen (1866)",,,,,,,,"Member of the Minnesota House of Representatives from the 31st district,7th Lieutenant Governor of Minnesota"
,,Alphonso Deal,,"April 15, 1923","June 3, 1987",,,,,,,,,Member of the Pennsylvania House of Representativesfrom the 181st district
"Truman State University,Washington University","BA,JD",Alphonso Jackson,,1945-09-09,,Marcia,,,2,,,,,"13th United States Secretary of Housing and Urban Development,5th United States Deputy Secretary of Housing and Urban Development"
,,Alphonse Verville,,1864-10-28,"June 20, 1930",,,,,,,,,"Member of the Canadian Parliamentfor Maisonneuve,Member of the Canadian Parliamentfor St. Denis"
University of Chicago,,Alston Scott Householder,,5 May 1904,4 July 1993,,,,,,,,,
,,Alsing Andersen,,5 February 1893,5 December 1962,,,,,,,,,"Defence Minister of Denmark,President of the Socialist International"
Grand River Institute,,Alphonso Hart,,1830-07-04,"December 23, 1910",Phebe Peck,,,two,,,,,"11th Lieutenant Governor of Ohio,Member of the U.S. House of Representativesfrom Ohio's 12th district,Member of the Ohio Senatefrom the 26th district"
West Virginia University,"M.A.,A.B.",Alston G. Dayton,Alston Gordon Dayton,1857-10-18,"July 30, 1920",,,,,,,,,"Judge of the United States District Court for the Northern District of West Virginia,Member of the U.S. House of Representativesfrom West Virginia's 2nd district"
Hunter College,,Althea Stevens,Althea V. Stevens,1983-01-02,,,,,,,,politician,,Member of the New York City Councilfrom the 16th district
,,Alton Asa Lennon,,1906-08-17,"December 28, 1986",Karine Welch,,,,,,,,"United States Senatorfrom North Carolina,Member of the U.S. House of Representativesfrom North Carolina's 7th district,Member of the North Carolina Senate"
,,Alton Keel,,1943-09-15,,,,,,,,,,
,,Alton Asa Lennon,,1906-08-17,"December 28, 1986",Karine Welch,,,,,,,,"United States Senatorfrom North Carolina,Member of the U.S. House of Representativesfrom North Carolina's 7th district,Member of the North Carolina Senate"
"John Jay College,New York Law School","BS,JD",Alton Waldon,Alton Ronald Waldon Jr.,1936-12-21,,,,,,,,Judge,,"Judge of the New York Court of Claims,Member of the U.S. House of Representativesfrom New York's 6th district,Member of the New York Senatefrom the 10th district,Member of the New York State Assemblyfrom the 33rd district,Military service"
"John Jay College,New York Law School","BS,JD",Alton Waldon,Alton Ronald Waldon Jr.,1936-12-21,,,,,,,,Judge,,"Judge of the New York Court of Claims,Member of the U.S. House of Representativesfrom New York's 6th district,Member of the New York Senatefrom the 10th district,Member of the New York State Assemblyfrom the 33rd district,Military service"
"John Jay College,New York Law School","BS,JD",Alton Waldon,Alton Ronald Waldon Jr.,1936-12-21,,,,,,,,Judge,,"Judge of the New York Court of Claims,Member of the U.S. House of Representativesfrom New York's 6th district,Member of the New York Senatefrom the 10th district,Member of the New York State Assemblyfrom the 33rd district,Military service"
"University of Wales, Newport",University of South Wales,Alun Cairns,,1970-07-30,,Emma Elizabeth Turner,,,1,,,,,"Secretary of State for Wales,Parliamentary Under-Secretary of State for WalesLord Commissioner of the Treasury,Member of Parliamentfor Vale of Glamorgan,Member of the Welsh Assemblyfor South Wales West"
Bangor University,,Alun Ffred Jones,,1949-10-29,,,,,,,,,,"Member of the Welsh Assemblyfor Arfon,Minister for Heritage,Member of the Welsh Assemblyfor Caernarfon"
,,Alun Davies,,1964-02-12,,,,,,,,"Politician, public affairs consultant and businessperson",,"Cabinet Secretary for Local Government and Public Services,Minister for Lifelong Learning and Welsh Language,Minister for Natural Resources and Food,Deputy Minister for Agriculture,Member of the Senedd  for Blaenau Gwent,Member of the Senedd  for Mid and West Wales"
,,Alun Pugh,,1955-06-09,,,,,,,,,,Member of the National Assemblyfor Clwyd West
Keele University,,Alun Michael,,1943-08-22,,Mary Sophia Crawley,Betty Michael,,5,,,,,"South Wales Police and Crime Commissioner,Minister of State for Industry and the Regions,Minister of State for Rural Affairs,First Secretary of Wales,Leader of Welsh Labour,Secretary of State for Wales,Minister of State for Home Affairs,Member of the Welsh Assembly for Mid and West Wales,Member of Parliamentfor Cardiff South and Penarth"
,,Alupa Clarke,,1986-04-04,,,,,,,,,,"Member of Parliamentfor Beauport—Limoilou,Shadow Minister for Official Languages and la Francophonie,Official Opposition Critic for Veterans Affairs"
,,Sir Alured Clarke,,24 November 1744,16 September 1832 (aged 87),,,,,,,,,"Acting Governor-General of the Presidency of Fort William,Military service"
,,Alva Adams,,1850-05-14,"November 1, 1922",,,,,,,,,"5th, 10th & 14th Governor of Colorado"
,,Alv Jakob Fostervoll,,1932-01-20,15 June 2015,,,,,,,,,"County Governor of Møre og Romsdal,Minister of Defence,Member of the Norwegian Parliament for Møre og Romsdal"
"Yale University,Columbia Law School",,Alva B. Adams,Alva Blanchard Adams,1875-10-29,"December 1, 1941",,,,,,,"Lawyer, Senator",,United States Senatorfrom Colorado
University of South Carolina School of Law,LL.B.,Alva Moore Lumpkin,Alva Moore Lumpkin,1886-11-13,"August 1, 1941",,,,,,,,,"United States Senatorfrom South Carolina,Judge of the United States District Court for the Eastern District of South CarolinaJudge of the United States District Court for the Western District of South Carolina"
,,Alvah Crocker,,"October 14, 1801","December 26, 1874 (aged 73)",,,,Charles Thomas Crocker,,,,,"Member of theU.S. House of Representatives from Massachusetts,Massachusetts State Senate,Massachusetts House of Representatives,Massachusetts House of Representatives"
"Harvard University,Yale University","JD,AB",Alvaro Bedoya,,1982 (age 39–40),,,,,,,,,,Commissioner of the Federal Trade Commission
"Louisiana State University,Paul M. Hebert Law Center","BS,LLB",Alvin Benjamin Rubin,Alvin Benjamin Rubin,1920-03-13,"June 11, 1991",,,,,,,,,"Senior Judge of the United States Court of Appeals for the Fifth Circuit,Judge of the United States Court of Appeals for the Fifth Circuit,Judge of the United States District Court for the Eastern District of Louisiana"
,,Alvey Augustus Adee,,1842-11-27,"July 4, 1924",,,,,,,,,"2nd United States Second Assistant Secretary of State,United States Secretary of State"
,,Alvan Cullom,,1797-09-04,"July 20, 1877",Susan Jones Cullom,,,Elizabeth Cullom Keeton,,,,,"Member of the U.S. House of Representativesfrom Tennessee's 4th district,Member of the Tennessee House of Representatives"
,,Alvan T. Fuller,Alvan Tufts Fuller,1878-02-27,"April 30, 1958",Viola Theresa Davenport,,,4,,,,,"50th Governor of Massachusetts,48th Lieutenant Governor of Massachusetts,Member of the U.S. House of Representativesfrom Massachusetts's 9th district,Member of the Massachusetts House of Representatives"
,,Alvin Baldus,,1926-04-27,"February 2, 2017",,,,,,,,,"Member of the U.S. House of Representativesfrom Wisconsin's 3rd district,Member of the Wisconsin State Assembly"
"Princeton University,Tulane University Law School","BA,JD",Alvin Anthony Schall,Alvin Anthony Schall,1944-04-04,,,,,,,,,,"Senior Judge of the United States Court of Appeals for the Federal Circuit,Judge of the United States Court of Appeals for the Federal Circuit"
"Cape Peninsula University of Technology,University of the Witwatersrand",,Alvin Botes,Alvin Botes,1973-09-09,,,,,,,,,,"Deputy Minister of International Relations and Cooperation,MEC for Co-operative Governance, Human Settlements and Traditional Affairs,MEC for Social Development,Member of the National Assembly of South Africa,Member of the Northern Cape Provincial Legislature"
,,Alvin C. Bush,,1924-01-22,"February 8, 2017",,,,,,,,,"Member of the Pennsylvania House of Representativesfrom the 84th district,Member of the Pennsylvania House of Representativesfrom the Lycoming County district"
,,Alvin Christian Eurich,,1902-06-14,"May 27, 1987",,,,,,,,,"Acting President ofStanford University,First President of theState University of New York"
,,Alvin Ray Bush,,1893-06-04,"November 5, 1959",,,,,,,,,"Member of the U.S. House of Representativesfrom Pennsylvania's 17th district,Member of the U.S. House of Representativesfrom Pennsylvania's 15th district"
"College of William & Mary,U.S. Naval Academy,Imperial Defence College",B.S.,Alvin Duke Chandler,,1902-08-18,"May 26, 1987","Louise Michaels Chandler (until 1987, his death)",Julian Alvin Carroll Chandler,,,,,"Naval officer,educator",,"19th Chancellor of the College of William & Mary,21st President of the College of William & Mary"
,,Alvin Goldman,,1938,,,,,,,,,,
"University of Wisconsin–Madison,Yankton College",,Alvin Hansen,,1887-08-23,"June 6, 1975",,,,,,,,,
"Columbia University,Stanford University",,Alvin Roth,Alvin Eliot Roth,1951-12-18,,,,,,,,,,
"University of Wisconsin–Madison,Yankton College",,Alvin Hansen,,1887-08-23,"June 6, 1975",,,,,,,,,
,,Alvin Katz,,1936-08-30,,,,,,,,,,Member of the Pennsylvania House of Representativesfrom the 170th district
,,Alvin J. DeGrow,,1926-06-01,"June 2, 2016",Judith,,,,,,,,"Member of the Michigan Senatefrom the 28th district,Military service"
University of Michigan,"BA,MA",Alvin Bentley,Alvin Morell Bentley III,1918-08-30,"April 10, 1969",,,,,,,,,Member of the U.S. House of Representativesfrom Michigan's 8th district
,,Alvin Evans,,1845-10-04,"June 19, 1906",,,,,,,,,"Member of the U.S. House of Representativesfrom Pennsylvania's 19th district,Member of the U.S. House of Representativesfrom Pennsylvania's 20th district"
"Columbia University,Stanford University",,Alvin Roth,Alvin Eliot Roth,1951-12-18,,,,,,,,,,
University of Texas,LL.B.,Alvin J. Wirtz,Alvin Jacob Wirtz,1888-05-22,"October 27, 1951",Kitty Mae Stamps,,,Ida May Wirtz,,,,,"President pro tempore of the Texas Senate,Member of the Texas Senatefrom the 15th district"
Tulane University,,Alvin Olin King,,"June 21, 1890","February 21, 1958 (aged 67)",,,,,,,,,"41st Governor of Louisiana,34th Lieutenant Governor of Louisiana,Member of the Louisiana Senate"
"Virginia Military Institute,University of Texas",,Alvin M. Owsley,,1888-06-11,"April 3, 1967",Lucy Ball Owsley,,,"3 (Alvin Jr, David, and Lucy)",,,,,"United States Envoy to Denmark,United States Envoy to the Irish Free State,United States Envoy to Romania,National Commander of The American Legion,Military service"
"Yale University,Vanderbilt University Law School",Vanderbilt University Law School,Alvin P. Adams Jr.,,1942-08-29,"October 10, 2015",,,,,,,,,"United States Ambassador to Djibouti,United States Ambassador to Haiti,United States Ambassador to Peru"
Tulane University,,Alvin Olin King,,"June 21, 1890","February 21, 1958 (aged 67)",,,,,,,,,"41st Governor of Louisiana,34th Lieutenant Governor of Louisiana,Member of the Louisiana Senate"
"Calvin University,University of Michigan,Yale University",,Alvin Plantinga,Alvin Carl Plantinga,1932-11-15,,Kathleen De Boer,,,,,,,,
"Barewa College,Nigeria Defence Academy",,Alwali Jauji Kazir,,1947-08-02,,,,,,,,,,"Governor of Kwara State,General Officer Commanding 1 Division Nigerian Army,Chief of Army Staff,Military service"
University of Pretoria,,Alwyn Louis Schlebusch,,1917-09-16,7 January 2008,Isabella Elizabeth Krause and Jeanette Rouen,,,4,,,Politician,,"Vice State President of South Africa,Speaker of Parliament of South Africa"
,,Alvin E. O'Konski,Alvin Edward O'Konski,1904-05-26,"July 8, 1987",Veronica M. Hemming,,,,,,,,Member of the U.S. House of Representativesfrom Wisconsin's 10th district
"University of Leeds,Nottingham Trent University",,Alyn Smith,,1973-09-15,,,,,,,,,,"SNP Foreign Affairs Spokesperson,Member of Parliament  for Stirling,Member of the European Parliament  for Scotland,President of the European Free Alliance group"
Patrick Henry College,BA,Alyssa Farah Griffin,Alyssa Alexandra Farah,1989-06-15,,Justin Griffin,Joseph Farah,,,,,,,"3rd White House Director of Strategic Communications,Press Secretary of the Department of Defense,Press Secretary to the Vice President"
,,Alzo Reddick,,1937-11-15,,,,,,,,,,Member of the Florida House of Representatives
"University of Sonora,California State University, Los Angeles","California State University, Los Angeles",Amanda Aguirre,,1953-02-06,,,,,,,,President/CEO of non-profits Regional Center for Border Health and San Luis Walk-in Clinic,,Member of the Arizona Senatefrom the 24th district
,,Amadou Sanogo,,1972 or 1973,,,,,,,,,,Chairman of the National Committee for the Restoration of Democracy and State of Mali
,,Amadi Ikwechegh,,25 February 1951,10 November 2009,,,,,,,,,Military Governor of Imo State
,,Amadeo Bordiga,,13 June 1889,23 July 1970,,,,,,,,,General Secretary Communist Party of Italy
"Pomona College,University of California, Santa Barbara",,Amalie L. Frischknecht,,,,,,,,,,,,
,,Amanda Lind,Amanda Sofia Margareta Johansson,1980-08-02,,Björn Ola Lind,,,,,,,,"Minister for Culture,Minister for Democracy"
Wayne State College,,Amanda Grosserode,,1975-12-11,,Chad,,,,,,,,Member of the Kansas House of Representativesfrom the 16th district
University of Cambridge,"MS,BS",Amanda Fritz,,April 1958 (age 64),,Steve Fritz (1982–2014; his death),,,,,,"Politician, nurse",,Portland City Commissioner
,,,,1981-07-01,,,,,,,,,,Mixed martial arts record
University College London,,Amanda Milling,,1975-03-12,,,,,,,,,,"Minister of State for Asia and the Middle East[a],Chairman of the Conservative Party,Minister without Portfolio,Government Deputy Chief WhipTreasurer of the Household,Member of Parliamentfor Cannock Chase"
